iter	RMSE
0	0.9868680859
1	0.9779846944
2	0.9679181914
3	0.9571510227
4	0.9472138345
5	0.937887963
6	0.932613515
7	0.9231412096
8	0.9148493676
9	0.9092284924
10	0.9014020175
11	0.8924784166
12	0.8846619233
13	0.87732222
14	0.8702365015
15	0.8639226167
16	0.8554319493
17	0.8473840427
18	0.8428038073
19	0.8346283962
20	0.8275798622
21	0.8212879528
22	0.8163205884
23	0.81110809
24	0.8074327311
25	0.8003069639
26	0.794656993
27	0.7880595039
28	0.7823476481
29	0.7759764633
30	0.7710711369
31	0.7656836758
32	0.7620226156
33	0.7567945009
34	0.7515040661
35	0.7475388787
36	0.7414950141
37	0.7358944126
38	0.7312604052
39	0.725894365
40	0.7234546065
41	0.7182377332
42	0.7132469023
43	0.7088609318
44	0.7043345237
45	0.6978669341
46	0.6951861859
47	0.6903759961
48	0.6855089526
49	0.6834538946
50	0.6794866257
51	0.675215486
52	0.6716481878
53	0.6691177039
54	0.6664423688
55	0.663227029
56	0.6598780685
57	0.6587753631
58	0.6551257895
59	0.6520705315
60	0.6486537137
61	0.6458531707
62	0.6425887621
63	0.6416005465
64	0.6400929779
65	0.6348617928
66	0.6324235193
67	0.6291104047
68	0.6270555318
69	0.6237740676
70	0.620077175
71	0.6179439456
72	0.6161240836
73	0.6135760937
74	0.6116014464
75	0.6105250154
76	0.6087220898
77	0.6074939596
78	0.6041846936
79	0.6007257383
80	0.598737711
81	0.5957141631
82	0.5927111845
83	0.5905059035
84	0.5884070972
85	0.5877619384
86	0.5846330003
87	0.5841725287
88	0.5826795193
89	0.5805082571
90	0.5783784565
91	0.575830944
92	0.5740904661
93	0.572087953
94	0.5715052917
95	0.5696871554
96	0.5677380596
97	0.565302264
98	0.5635736884
99	0.562375482
100	0.5598485276
101	0.5583604701
102	0.5571751267
103	0.5542554877
104	0.5521915256
105	0.5512460249
106	0.5490704139
107	0.5466768647
108	0.545220137
109	0.5416981262
110	0.5405707299
111	0.5389683485
112	0.5364695441
113	0.5332670981
114	0.5323781841
115	0.5319814691
116	0.5297219189
117	0.5284853718
118	0.5266034442
119	0.525221447
120	0.5250647589
121	0.5236686796
122	0.5227829223
123	0.5207759582
