iter	Passed	Remaining
0	1	1131
1	1	618
2	1	515
3	1	436
4	1	362
5	1	319
6	1	283
7	2	258
8	2	236
9	2	221
10	2	208
11	2	198
12	2	192
13	2	188
14	2	180
15	2	174
16	2	167
17	2	162
18	3	157
19	3	153
20	3	149
21	3	145
22	3	143
23	3	140
24	3	137
25	3	135
26	3	136
27	3	134
28	3	132
29	4	130
30	4	129
31	4	130
32	4	130
33	4	130
34	5	146
35	5	143
36	5	142
37	5	141
38	5	139
39	5	138
40	5	136
41	5	135
42	6	134
43	6	133
44	6	134
45	6	133
46	6	133
47	6	132
48	6	131
49	7	133
50	7	135
51	7	134
52	7	132
53	7	131
54	7	130
55	7	128
56	7	126
57	7	124
58	7	123
59	7	123
60	7	122
61	8	121
62	8	120
63	8	119
64	8	117
65	8	116
66	8	116
67	8	116
68	8	117
69	8	117
70	8	116
71	9	117
72	9	117
73	9	116
74	9	118
75	9	116
76	9	115
77	9	114
78	9	114
79	9	114
80	10	113
81	10	113
82	10	114
83	10	113
84	10	114
85	10	113
86	11	115
87	11	114
88	11	114
89	11	114
90	11	114
91	11	115
92	11	114
93	12	115
94	12	114
95	12	114
96	12	113
97	12	113
98	12	113
99	12	112
100	12	111
101	12	111
102	12	110
103	12	110
104	12	109
105	12	109
106	12	108
107	13	107
108	13	107
109	13	106
110	13	105
111	13	105
112	13	104
113	13	104
114	13	103
115	13	102
116	13	102
117	13	101
118	13	101
119	13	100
120	13	99
121	13	99
122	13	98
123	13	97
124	13	97
125	13	97
126	14	97
127	14	97
128	14	96
129	14	96
130	14	95
131	14	95
132	14	96
133	14	96
134	14	96
135	15	95
136	15	95
137	15	94
138	15	95
139	15	95
140	15	95
141	15	95
142	16	96
143	16	96
144	16	96
145	16	97
146	16	97
147	16	96
148	16	96
149	16	96
150	17	95
151	17	95
152	17	95
153	17	95
154	17	95
155	17	94
156	17	94
157	17	94
158	17	94
159	17	94
160	17	93
161	18	93
162	18	93
163	18	92
164	18	92
165	18	92
166	18	91
167	18	91
168	18	91
169	18	90
170	18	91
171	18	91
172	19	91
173	19	91
174	19	91
175	19	92
176	19	92
177	20	92
178	20	92
179	20	91
180	20	91
181	20	91
182	20	90
183	20	90
184	20	90
185	20	90
186	20	90
187	20	89
188	20	89
189	21	89
190	21	89
191	21	90
192	21	91
193	22	91
194	22	91
195	22	91
196	22	91
197	22	90
198	22	90
199	22	90
200	22	89
201	22	89
202	22	89
203	23	90
204	23	89
205	23	89
206	23	89
207	23	89
208	23	90
209	24	90
210	24	90
211	24	90
212	24	90
213	24	90
214	24	90
215	25	90
216	25	90
217	25	90
218	25	91
219	25	91
220	25	91
221	26	91
222	26	91
223	26	90
224	26	90
225	26	90
226	26	90
227	26	90
228	26	90
229	26	89
230	26	89
231	27	89
232	27	89
233	27	89
234	27	89
235	27	89
236	27	89
237	27	88
238	27	88
239	28	88
240	28	88
241	28	88
242	28	88
243	28	88
244	28	88
245	28	88
246	28	87
247	28	87
248	29	87
249	29	87
250	29	87
251	29	86
252	29	86
253	29	86
254	29	86
255	29	85
256	29	85
257	29	85
258	30	85
259	30	85
260	30	85
261	30	85
262	30	85
263	30	85
264	30	85
265	30	85
266	31	85
267	31	84
268	31	84
269	31	84
270	31	84
271	31	83
272	31	83
273	31	83
274	31	83
275	31	83
276	31	83
277	31	82
278	31	82
279	32	82
280	32	83
281	32	83
282	32	82
283	32	82
284	32	82
285	33	82
286	33	82
287	33	82
288	33	82
289	33	81
290	33	81
291	33	81
292	33	81
293	33	81
294	34	81
295	34	81
296	34	80
297	34	80
298	34	80
299	34	80
300	34	80
301	34	79
302	34	79
303	34	79
304	34	79
305	35	79
306	35	79
307	35	79
308	35	79
309	35	79
310	35	79
311	35	79
312	36	79
313	36	79
314	36	79
315	36	79
316	36	79
317	36	78
318	36	78
319	37	78
320	37	78
321	37	78
322	37	78
323	37	78
324	37	78
325	37	77
326	37	77
327	37	77
328	37	77
329	37	77
330	38	76
331	38	76
332	38	76
333	38	76
334	38	75
335	38	75
336	38	75
337	38	75
338	38	75
339	38	74
340	38	74
341	38	74
342	38	74
343	38	74
344	38	73
345	38	73
346	39	73
347	39	73
348	39	72
349	39	72
350	39	72
351	39	72
352	39	72
353	39	72
354	39	72
355	39	71
356	39	71
357	39	71
358	39	71
359	40	71
360	40	71
361	40	71
362	40	71
363	40	70
364	40	70
365	40	70
366	40	70
367	40	70
368	41	70
369	41	70
370	41	70
371	41	69
372	41	69
373	41	69
374	41	69
375	41	69
376	41	69
377	42	69
378	42	69
379	42	68
380	42	68
381	42	68
382	42	68
383	42	68
384	42	67
385	42	67
386	42	67
387	42	67
388	42	67
389	42	67
390	43	67
391	43	66
392	43	66
393	43	66
394	43	66
395	43	66
396	43	66
397	43	66
398	43	66
399	43	65
400	44	65
401	44	65
402	44	65
403	44	65
404	44	65
405	44	65
406	44	65
407	44	65
408	45	65
409	45	64
410	45	64
411	45	64
412	45	64
413	45	64
414	46	65
415	46	65
416	46	65
417	46	65
418	46	64
419	46	64
420	47	64
421	47	64
422	47	64
423	47	64
424	47	64
425	47	63
426	47	63
427	47	63
428	47	63
429	47	63
430	47	63
431	47	62
432	47	62
433	47	62
434	47	62
435	47	62
436	47	61
437	48	61
438	48	61
439	48	61
440	48	61
441	48	60
